title, author, rating, format, price, year
What She Don't Know (Her Secret Love Series Book 1),Mia Black,4.6 out of 5 stars, ,0.00,2018
The Point of Light (Historical Fiction Book 1),John Ellsworth,4.4 out of 5 stars, ,0.00,2019
The 28th Gate: Volume 1,Christopher C. Dimond,4.4 out of 5 stars, ,0.00,2018
Loving The Wrong Man,Mia Black,4.6 out of 5 stars, ,0.00,2016
Twice Shy (The Power of Love Book 1),Mona Ingram,4.5 out of 5 stars, ,0.00,2019
The Year's Best Science Fiction: Thirty-Fifth Annual Collection,,4.3 out of 5 stars, ,13.01,2018
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
Dark Paths: Liberation War Book 4,John Walker,, ,0.00,2019
An Elephant in the Garden: Inspired by a True Story,Michael Morpurgo,4.6 out of 5 stars, ,6.96,2013
The Science Fiction Hall of Fame, Vol. 1: 1929-1964,Robert Silverberg,4.6 out of 5 stars, ,13.33,2005
Flight of the Sparrow: A Novel of Early America,Amy Belding Brown,4.5 out of 5 stars, ,9.59,2014
Alien Brute: A Sci-Fi Alien Romance (Vaxxlian Mates Book 4),Sue Mercury,4.5 out of 5 stars, ,0.00,2019
The Reluctant Bid: Distinguished Gentlemen Series,Sheryl Lister,5.0 out of 5 stars, ,0.00,2019
The Story Of Us: A Secret Baby Romance (Serenity House Book 1),Molly O'Keefe,4.4 out of 5 stars, ,3.80,2018
Merchants of War (Broken Arrow Mercenary Force Book 1),Rick Partlow,5.0 out of 5 stars, ,0.00,2019
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
A SLAVE'S SONG,Michael Edwin Q.,4.3 out of 5 stars, ,0.00,2016
Send Down the Rain: New from the author of The Mountains Between Us and the New York Times bestseller Where the River Ends,Charles Martin,4.7 out of 5 stars, ,9.99,2018
Red War (A Mitch Rapp Novel Book 15),Vince Flynn,4.1 out of 5 stars, ,14.99,2018
