title, author, rating, format, price, year
Biting Time: Paranormal Dating Agency (BBW in Charge Book 1),Rose Smith,3.1 out of 5 stars, ,0.00,2019
You're Lion to Me (Paranormal Dating Agency Book 20),Milly Taiden,4.8 out of 5 stars, ,0.00,2019
Whatever Is...: A Couple's Devotional for Christian Dating in a Secular World,,4.1 out of 5 stars, ,0.00,2012
Dating the Divorced Man: Sort Through the Baggage to Decide if He's Right for You,Christie Hartman,4.5 out of 5 stars, ,14.95,2014
The Perks of Dating You (Perks Book 1),Stephanie Street,4.4 out of 5 stars, ,0.00,2017
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
Dating Princeton Charming (The Princeton Charming Series Book 2),Frankie Love,4.6 out of 5 stars, ,0.00,2019
Dating Advice For Men: A Dating Guide On How To Be A Better Man~ Attract The Women You Want~ Have A Spectacular Relationship And Get More From Life.,Levi King,4.8 out of 5 stars, ,9.99,2019
Man-Eater: A Dating Metaphor,Just S.,, ,14.99,2019
Christian Dating in Godless World,,5.0 out of 5 stars, ,15.57,2016
Dating Intervention: Do's and Don'ts to Dodge Disaster,,5.0 out of 5 stars, ,14.95,2019
Attract Love At Any Age: The Ultimate Dating Guide For Single Women Over 40,Marlene Wagner,5.0 out of 5 stars, ,0.00,2017
Dating Fabrics - A Color Guide - 1800-1960,Eileen Trestain,4.7 out of 5 stars, ,20.59,1998
Riding Solo: How to Embrace Being Single and Prepare to Find Mr. Right (Relationship and Dating Advice for Women Book 21),Gregg Michaelsen,5.0 out of 5 stars, ,0.00,2019
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
Don't Go In That Room!: A Girlfriend's Guide To Avoiding Dating And Relationship Hell,Annette Marie Westwood,5.0 out of 5 stars, ,0.00,2016
Dating Sarah Cooper,Siera Maley,4.5 out of 5 stars, ,0.00,2014
Social Skills: Top 10 Mistakes That Destroy Your Charisma… and How to Avoid Them,,4.7 out of 5 stars, ,0.00,2018
Darak: Dakonian Alien Mail Order Brides #1 (Intergalactic Dating Agency),Cara Bristol,4.5 out of 5 stars, ,2.99,2018
Dating Game: A Novel,Danielle Steel,4.3 out of 5 stars, ,7.99,2009
Dating Princeton Charming (The Princeton Charming Series Book 2),Frankie Love,4.6 out of 5 stars, ,0.00,2019
Oh~ Bite Me: Paranormal Dating Agency (Guardians of the Deep),Chris Genovese,4.9 out of 5 stars, ,0.00,2018
Mars and Venus on a Date: A Guide for Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,John Gray,4.5 out of 5 stars, ,12.49,2009
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
Relationship Agreements: A Simple and Effective Guide for Strengthening Communication~ Reducing Conflict~ and Increasing Intimacy to Design Your Ideal Relationship,Eri Kardos,4.7 out of 5 stars, ,0.00,2017
Dating an Alien Pop Star (The Alien Pop Star Series Book 1),Kendra L. Saunders,4.4 out of 5 stars, ,0.00,2016
The Rules for Online Dating: Capturing the Heart of Mr. Right in Cyberspace,Ellen Fein,3.9 out of 5 stars, ,11.99,2002
Dating in Black & White: Keeping Relationships on Target,Adonis Lenzy,4.9 out of 5 stars, ,11.59,2014
The Dating Debate (Dating Dilemmas Book 1),Chris Cannon,4.3 out of 5 stars, ,2.99,2018
Born with a Silver Moon: Galaxa Warriors (Paranormal Dating Agency Book 15),Milly Taiden,4.7 out of 5 stars, ,0.00,2018
You're Lion to Me (Paranormal Dating Agency Book 20),Milly Taiden,4.8 out of 5 stars, ,0.00,2019
Online Dating For Men: (The Quick Notes): Wasting Time? Find Your Match Faster with Game Changer Quick Tips - (2nd Edition),,4.4 out of 5 stars, ,9.95,2016
Dating 101: Hot Dating Tips Guaranteed To Work For You: Dating Advice For Men and Women,,, ,0.00,2019
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
Dating Radar: Why Your Brain Says Yes to"The One" Who Will Make Your Life Hell,,4.7 out of 5 stars, ,0.00,2017
Best Dating Rules: A Romantic Comedy (The Best Girls Book 2),Tamie Dearen,4.5 out of 5 stars, ,3.99,2014
Oh~ My Roared: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 12),Milly Taiden,4.3 out of 5 stars, ,0.00,2017
Labor of Love: The Invention of Dating,Moira Weigel,4.0 out of 5 stars, ,9.99,2016
All Kitten Aside: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 11),Milly Taiden,4.7 out of 5 stars, ,0.00,2016
Draconians: Complete Series,Scarlett Grove,4.3 out of 5 stars, ,0.00,2016
Boundaries in Dating Workbook,Henry Cloud,4.2 out of 5 stars, ,11.22,2000
The 10 Myths of Teen Dating: Truths Your Daughter Needs to Know to Date Smart~ Avoid Disaster~ and Protect Her Future,Daniel Anderson,4.7 out of 5 stars, ,9.99,2016
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
Relationship Agreements: A Simple and Effective Guide for Strengthening Communication~ Reducing Conflict~ and Increasing Intimacy to Design Your Ideal Relationship,Eri Kardos,4.7 out of 5 stars, ,0.00,2017
Dating Coach For Men~ Understanding Men In Relationships: 9 Dating Success Secrets On How To Win The Woman Of Your Dreams & The Top 44 Irresistible Qualities Men Want In A Woman,,5.0 out of 5 stars, ,0.00,2017
Winter Wedding: Paranormal Dating Agency (Twilight Crossings Book 4),Jen Talty,4.5 out of 5 stars, ,0.00,2019
Shiftr: Swipe Left for Love (Connor & Lauren): BBW Bear Shifter Romance (Hope Valley BBW Dating App Romance Book 12),Ariana Hawkes,4.8 out of 5 stars, ,0.00,2017
Dating Deal Breakers That Drive Men Away: 12 Relationship Killers That Ruin Your Long-Term Potential with High-Quality Men,Bruce Bryans,3.9 out of 5 stars, ,0.00,2016
Sex~ Dating~ and Relationships: A Fresh Approach,Gerald Hiestand,4.2 out of 5 stars, ,9.35,2012
One Baby Daddy (Dating by Numbers Series Book 3),Meghan Quinn,4.2 out of 5 stars, ,3.99,2018
The Do's and Don'ts of Successful Online Dating,Chuck Miller,4.7 out of 5 stars, ,0.00,2018
The Dating Charade,Melissa Ferguson,, ,14.40,2019
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
Seriously Dating or Engaged: A Premarital Workbook for Couples,Becky Tirabassi,4.3 out of 5 stars, ,,
Two Wedding Crashers (The Dating by Numbers Series Book 2),Meghan Quinn,4.7 out of 5 stars, ,0.00,2018
Love Factually for Single Parents: [& Those Dating Them],Duana Welch,4.7 out of 5 stars, ,15.99,2019
The Do's and Don'ts of Successful Online Dating,Chuck Miller,4.7 out of 5 stars, ,0.00,2018
Dating Deal Breakers That Drive Men Away: 12 Relationship Killers That Ruin Your Long-Term Potential with High-Quality Men,Bruce Bryans,3.9 out of 5 stars, ,0.00,2016
Torel: Star-Crossed Alien Mail Order Brides (Intergalactic Dating Agency),Susan Hayes,4.6 out of 5 stars, ,2.99,2018
The Ladybird Book of Dating (Ladybirds for Grown-Ups),Jason Hazeley,4.8 out of 5 stars, ,7.36,2016
121 First Dates: How to Succeed at Online Dating~ Fall in Love~ and Live Happily Ever After (Really!),Wendy Newman,4.7 out of 5 stars, ,13.99,2016
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
The Game She Plays: Dating & Marriage,,, ,14.98,2019
Dating The Duke (Twickenham Time Travel Romance Book 8),Jen Geigle Johnson,4.3 out of 5 stars, ,0.00,2019
The Guide to Dating for Teenagers With Asperger Syndrome,Jeannie Uhlenkamp,4.4 out of 5 stars, ,21.95,2009
Dating My Friend's Daughter,Penny Wylder,4.5 out of 5 stars, ,0.00,2017
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
The 10 Myths of Teen Dating: Truths Your Daughter Needs to Know to Date Smart~ Avoid Disaster~ and Protect Her Future,Daniel Anderson,4.7 out of 5 stars, ,8.89,2016
Caid: Dakonian Alien Mail Order Brides #3 (Intergalactic Dating Agency),Cara Bristol,4.6 out of 5 stars, ,2.99,2018
Dating Game: A Novel,Danielle Steel,4.3 out of 5 stars, ,7.99,2009
The Truth About Dating~ Love~ and Just Being Friends,Chad Eastham,4.4 out of 5 stars, ,10.45,2011
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
Real Love in Dating: The Truth About Finding The Perfect Partner,Greg Baer,4.1 out of 5 stars, ,9.97,2005
Approaching Women: A step-by-step guide to getting more dates,Justin Stenstrom,4.5 out of 5 stars, ,0.00,2015
Dating Smarts - What Every Teen Needs To Date~ Relate Or Wait,Amy Lang MA,4.6 out of 5 stars, ,12.95,2016
Curves 'em Right (Paranormal Dating Agency Book 4),Milly Taiden,4.6 out of 5 stars, ,0.00,2014
Love is in the Mouse! Online Dating for Women: Crush Your Rivals and Start Dating Extraordinary Men (Relationship and Dating Advice for Women Book 5),Gregg Michaelsen,4.7 out of 5 stars, ,2.99,2014
Sun in the Oven: Galaxa Warriors (Paranormal Dating Agency Book 16),Milly Taiden,4.7 out of 5 stars, ,0.00,2018
The Ten Commandments of Dating: Time-Tested Laws for Building Successful Relationships,Ben Young,4.5 out of 5 stars, ,15.99,2012
Dating Advice For Men: A Dating Guide On How To Be A Better Man~ Attract The Women You Want~ Have A Spectacular Relationship And Get More From Life.,Levi King,4.8 out of 5 stars, ,9.99,2019
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
The Game She Plays: Dating & Marriage,,, ,14.98,2019
Rules for Dating a Married Man: How to Be a Good Mistress ~ An Essential Guide for Having an Affair With a Married Man,,3.7 out of 5 stars, ,9.99,2015
The Teenager's Guide to Dating: 8 Conversations to Building Intimacy,,, ,4.99,2015
Their Royal Compromise: Paranormal Dating Agency (Otherworld Shifters Book 2),Godiva Glenn,4.8 out of 5 stars, ,0.00,2018
Dating Your Wife: A 10-Date Plan to Reignite Your Marriage as an Awesome Husband (Men’s Advice for New World Dudes Book 2),Gregg Akkerman,, ,0.00,2019
Playing With Fire: Paranormal Dating Agency (Otherworld Shifters Book 4),Godiva Glenn,4.8 out of 5 stars, ,0.00,2019
Dating the Enemy,Nicole Williams,4.3 out of 5 stars, ,0.00,2018
His Twisted Tail: Paranormal Dating Agency (Twisted Tail Pack  Book 1),Melanie  James,4.5 out of 5 stars, ,0.00,2018
Dating Disasters of Emma Nash,,3.5 out of 5 stars, ,3.99,2018
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
25 Ways to Prepare for Marriage Other than Dating,Jamal Miller,4.7 out of 5 stars, ,16.99,2014
Kiss My Asteroid: Galaxa Warriors (Paranormal Dating Agency Book 14),Milly Taiden,4.7 out of 5 stars, ,0.00,2017
Shiftr: Swipe Left for Love (Connor & Lauren): BBW Bear Shifter Romance (Hope Valley BBW Dating App Romance Book 12),Ariana Hawkes,4.8 out of 5 stars, ,0.00,2017
Love and Dating in the 21st Century: A Godly Girl's Guide,,4.3 out of 5 stars, ,15.99,2017
The Dating Experiment,Emma Hart,4.2 out of 5 stars, ,4.99,2018
Labor of Love: The Invention of Dating,Moira Weigel,4.0 out of 5 stars, ,9.99,2016
Dating the Enemy,Nicole Williams,4.3 out of 5 stars, ,0.00,2018
The Ultimate Dating Guide for Widowers,Abel Keogh,4.1 out of 5 stars, ,9.99,2014
Texts So Good He Can't Ignore: Sassy Texting Secrets for Attracting High-Quality Men (and Keeping the One You Want),Bruce Bryans,4.3 out of 5 stars, ,0.00,2018
The Game She Plays: Dating & Marriage,,, ,14.98,2019
His Twisted Tail: Paranormal Dating Agency (Twisted Tail Pack  Book 1),Melanie  James,4.5 out of 5 stars, ,0.00,2018
The Man God Has For You: 7 Traits To Help You Determine Your Life Partner,Stephan Labossiere,4.7 out of 5 stars, ,9.97,2017
Online Dating Advice: Did She Reply Yet? Online Dating Strategies for Charming Profiles~ Irresistible Messages~ and More Dates PERIOD (OkCupid & Match Edition),Patrick King,4.0 out of 5 stars, ,0.00,2014
Dating the Quarterback (Secret Series Book 3),Emily Evans,3.6 out of 5 stars, ,2.99,2019
Divorce~ Drinking & Dating: The no-fail process to find out who you really are~ find your own freedom~ and have a few laughs along the way,,4.9 out of 5 stars, ,19.99,2018
Secrets of Dating After Fifty: The Insider's Guide to Finding Love Again,Karen Haddigan,4.9 out of 5 stars, ,4.95,2018
Mars and Venus on a Date: A Guide for Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,John Gray,4.5 out of 5 stars, ,12.49,2009
Who Holds the Cards Now?: 5 Lethal Steps to Win His Heart and Get Him to Commit,,4.2 out of 5 stars, ,0.00,2014
Never Mind the Rules: The Alternative Dating Guide for Girls Who Wanna Rock!,Susan Hyatt,4.8 out of 5 stars, ,0.00,2017
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6 out of 5 stars, ,5.49,2014
What To Say When You Talk To Your Self,Shad Helmstetter,4.6 out of 5 stars, ,2.99,2011
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8 out of 5 stars, ,0.00,2017
Draconians: Complete Series,Scarlett Grove,4.3 out of 5 stars, ,0.00,2016
A Purrfect Trifecta: Paranormal Dating Agency,Rebel West,3.9 out of 5 stars, ,0.00,2018
Dating the Prince (Lindzee's Royal Secrets Book 2),Lindzee Armstrong,4.5 out of 5 stars, ,0.00,2018
